Timestamp	Filename	Error	Message
2020-05-06 13:40:39.264 -0500	Reportes_SINOLAVE.fmp12	0	Import of script steps from clipboard started
2020-05-06 13:40:39.269 -0500	SospConMuestra	0	script steps imported : 1
2020-05-06 13:40:39.270 -0500	Reportes_SINOLAVE.fmp12	0	Import completed
2020-05-06 13:40:39.555 -0500	Reportes_SINOLAVE.fmp12	0	Import of script steps from clipboard started
2020-05-06 13:40:39.557 -0500	SospConMuestra	0	script steps imported : 1
2020-05-06 13:40:39.558 -0500	Reportes_SINOLAVE.fmp12	0	Import completed
2020-05-06 14:06:07.696 -0500	Reportes_SINOLAVE.fmp12	0	Import of script steps from clipboard started
2020-05-06 14:06:07.698 -0500	SospConMuestra	0	script steps imported : 1
2020-05-06 14:06:07.700 -0500	Reportes_SINOLAVE.fmp12	0	Import completed
2020-05-10 07:01:20.708 -0500	Reportes_SINOLAVE.fmp12	0	Import of script steps from clipboard started
2020-05-10 07:01:20.710 -0500	estadisticaUnidades	0	script steps imported : 1
2020-05-10 07:01:20.711 -0500	Reportes_SINOLAVE.fmp12	0	Import completed
2020-05-10 07:01:39.803 -0500	Reportes_SINOLAVE.fmp12	0	Import of script steps from clipboard started
2020-05-10 07:01:39.806 -0500	estadisticaUnidades	0	script steps imported : 1
2020-05-10 07:01:39.807 -0500	Reportes_SINOLAVE.fmp12	0	Import completed
2020-05-10 07:02:01.875 -0500	Reportes_SINOLAVE.fmp12	0	Import of script steps from clipboard started
2020-05-10 07:02:01.876 -0500	estadisticaUnidades	0	script steps imported : 1
2020-05-10 07:02:01.877 -0500	Reportes_SINOLAVE.fmp12	0	Import completed
2020-05-10 07:02:11.265 -0500	Reportes_SINOLAVE.fmp12	0	Import of script steps from clipboard started
2020-05-10 07:02:11.274 -0500	estadisticaUnidades	0	script steps imported : 7
2020-05-10 07:02:11.275 -0500	Reportes_SINOLAVE.fmp12	0	Import completed
2020-05-10 07:04:56.169 -0500	Reportes_SINOLAVE.fmp12	0	Import of script steps from clipboard started
2020-05-10 07:04:56.179 -0500	estadisticaUnidades	0	script steps imported : 4
2020-05-10 07:04:56.180 -0500	Reportes_SINOLAVE.fmp12	0	Import completed
2020-05-10 07:05:13.598 -0500	Reportes_SINOLAVE.fmp12	0	Import of script steps from clipboard started
2020-05-10 07:05:13.599 -0500	estadisticaUnidades	0	script steps imported : 4
2020-05-10 07:05:13.600 -0500	Reportes_SINOLAVE.fmp12	0	Import completed
2020-05-10 07:05:33.038 -0500	Reportes_SINOLAVE.fmp12	0	Import of script steps from clipboard started
2020-05-10 07:05:33.048 -0500	estadisticaUnidades	0	script steps imported : 1
2020-05-10 07:05:33.049 -0500	Reportes_SINOLAVE.fmp12	0	Import completed
2020-05-10 07:05:34.573 -0500	Reportes_SINOLAVE.fmp12	0	Import of script steps from clipboard started
2020-05-10 07:05:34.574 -0500	estadisticaUnidades	0	script steps imported : 1
2020-05-10 07:05:34.575 -0500	Reportes_SINOLAVE.fmp12	0	Import completed
2020-05-10 07:07:30.899 -0500	Reportes_SINOLAVE.fmp12	0	Import of script steps from clipboard started
2020-05-10 07:07:30.900 -0500	estadisticaUnidades	0	script steps imported : 1
2020-05-10 07:07:30.901 -0500	Reportes_SINOLAVE.fmp12	0	Import completed
2020-05-10 07:35:09.354 -0500	Reportes_SINOLAVE.fmp12	0	Import of script steps from clipboard started
2020-05-10 07:35:09.357 -0500	estadisticaUnidades	0	script steps imported : 4
2020-05-10 07:35:09.358 -0500	Reportes_SINOLAVE.fmp12	0	Import completed
2020-05-10 07:38:18.247 -0500	Reportes_SINOLAVE.fmp12	0	Import of script steps from clipboard started
2020-05-10 07:38:18.257 -0500	estadisticaUnidades	0	script steps imported : 1
2020-05-10 07:38:18.258 -0500	Reportes_SINOLAVE.fmp12	0	Import completed
2020-05-10 07:38:22.897 -0500	Reportes_SINOLAVE.fmp12	0	Import of script steps from clipboard started
2020-05-10 07:38:22.905 -0500	estadisticaUnidades	0	script steps imported : 1
2020-05-10 07:38:22.906 -0500	Reportes_SINOLAVE.fmp12	0	Import completed
2020-05-10 07:38:27.813 -0500	Reportes_SINOLAVE.fmp12	0	Import of script steps from clipboard started
2020-05-10 07:38:27.816 -0500	estadisticaUnidades	0	script steps imported : 1
2020-05-10 07:38:27.817 -0500	Reportes_SINOLAVE.fmp12	0	Import completed
2020-05-10 07:38:30.443 -0500	Reportes_SINOLAVE.fmp12	0	Import of script steps from clipboard started
2020-05-10 07:38:30.445 -0500	estadisticaUnidades	0	script steps imported : 1
2020-05-10 07:38:30.445 -0500	Reportes_SINOLAVE.fmp12	0	Import completed
2020-05-10 07:43:13.545 -0500	Reportes_SINOLAVE.fmp12	0	Import of script steps from clipboard started
2020-05-10 07:43:13.554 -0500	estadisticaUnidades	0	script steps imported : 1
2020-05-10 07:43:13.555 -0500	Reportes_SINOLAVE.fmp12	0	Import completed
2020-05-10 07:43:17.796 -0500	Reportes_SINOLAVE.fmp12	0	Import of script steps from clipboard started
2020-05-10 07:43:17.805 -0500	estadisticaUnidades	0	script steps imported : 1
2020-05-10 07:43:17.806 -0500	Reportes_SINOLAVE.fmp12	0	Import completed
2020-05-10 07:43:25.534 -0500	Reportes_SINOLAVE.fmp12	0	Import of script steps from clipboard started
2020-05-10 07:43:25.543 -0500	estadisticaUnidades	0	script steps imported : 1
2020-05-10 07:43:25.544 -0500	Reportes_SINOLAVE.fmp12	0	Import completed
2020-05-10 07:44:48.485 -0500	Reportes_SINOLAVE.fmp12	0	Import of script steps from clipboard started
2020-05-10 07:44:48.487 -0500	listUnique	0	script steps imported : 1
2020-05-10 07:44:48.489 -0500	Reportes_SINOLAVE.fmp12	0	Import completed
2020-05-10 08:10:32.069 -0500	Reportes_SINOLAVE.fmp12	0	Import of script steps from clipboard started
2020-05-10 08:10:32.074 -0500	GENERAR	0	script steps imported : 1
2020-05-10 08:10:32.074 -0500	Reportes_SINOLAVE.fmp12	0	Import completed
2020-05-10 08:10:41.625 -0500	Reportes_SINOLAVE.fmp12	0	Import of script steps from clipboard started
2020-05-10 08:10:41.637 -0500	GENERAR	0	script steps imported : 1
2020-05-10 08:10:41.638 -0500	Reportes_SINOLAVE.fmp12	0	Import completed
2020-05-10 08:12:09.013 -0500	Reportes_SINOLAVE.fmp12	0	Import of script steps from clipboard started
2020-05-10 08:12:09.014 -0500	GENERAR	0	script steps imported : 1
2020-05-10 08:12:09.015 -0500	Reportes_SINOLAVE.fmp12	0	Import completed
2020-05-10 08:12:24.666 -0500	Reportes_SINOLAVE.fmp12	0	Import of script steps from clipboard started
2020-05-10 08:12:24.668 -0500	GENERAR	0	script steps imported : 1
2020-05-10 08:12:24.669 -0500	Reportes_SINOLAVE.fmp12	0	Import completed
2020-05-10 08:14:04.913 -0500	Reportes_SINOLAVE.fmp12	0	Import of script steps from clipboard started
2020-05-10 08:14:04.914 -0500	GENERAR	0	script steps imported : 1
2020-05-10 08:14:04.916 -0500	Reportes_SINOLAVE.fmp12	0	Import completed
2020-05-10 08:14:08.466 -0500	Reportes_SINOLAVE.fmp12	0	Import of script steps from clipboard started
2020-05-10 08:14:08.468 -0500	GENERAR	0	script steps imported : 1
2020-05-10 08:14:08.470 -0500	Reportes_SINOLAVE.fmp12	0	Import completed
2020-05-10 08:20:51.823 -0500	Reportes_SINOLAVE.fmp12	0	Import of script steps from clipboard started
2020-05-10 08:20:51.824 -0500	GENERAR	0	script steps imported : 1
